활동명,모집기관,봉사분야,봉사기간 및 시간,활동요일,봉사장소,활동내용,요구사항
한부모 가정 아동 돌봄 보조,강원 가족지원센터,이웃 돌봄,"2025-12-10 ~ 2026-02-10, 13:00~17:00",월·수,강원특별자치도 원주시,아동 방과후 돌봄 보조.,아동 돌봄 경험자 우대
정신건강 취약가정 정서지원 보조,전남 마음케어 사회센터,이웃 돌봄,"2025-11-29 ~ 2026-01-30, 14:00~18:00",금·토,전라남도 여수시,가정 방문 정서 상담 보조.,상담 경험자 우대
홀몸 어르신 병원 동행 서비스,제주 노인종합복지관,이웃 돌봄,"2025-12-02 ~ 2026-01-25, 09:00~13:00",화·금,제주특별자치도 제주시,어르신 병원 방문 동행 지원.,책임감 필수
저소득층 아동 주말 급식 지원,울산 북구 아동센터 행복누리,이웃 돌봄,"2025-11-26 ~ 2026-01-10, 10:00~14:00",토·일,울산광역시 북구,급식 꾸러미 준비 및 배달.,장시간 서있기 가능
해변 쓰레기 수거 및 친환경 캠페인,부산 해양환경보호센터,환경보호,"2025-11-25 ~ 2026-01-10, 10:00~13:00",토,부산광역시 해운대구,해변 쓰레기 수거 및 친환경 캠페인 지원.,야외 활동 가능자
도심 미세먼지 저감 거리정화,서울 녹색지구재단,환경보호,"2025-11-28 ~ 2026-02-01, 09:00~12:00",수·금,서울특별시 성동구,거리 청소 및 식재 관리.,간단한 작업 가능
하천 생태 모니터링 보조,대전 환경보호연합,환경보호,"2025-12-02 ~ 2026-01-20, 13:00~16:00",화·목,대전광역시 유성구,수질·생물 조사 보조.,야외 조사 경험자 우대
산책로 낙엽 수거 및 등산로 정비,강원 숲사랑센터,환경보호,"2025-11-27 ~ 2026-01-30, 10:00~14:00",토,강원특별자치도 강릉시,낙엽 수거·등산로 정비.,기본 체력 필요
마을 꽃길 조성 및 가드닝 활동,광주 도시녹화지원단,환경보호,"2025-12-05 ~ 2026-02-05, 14:00~17:00",월·수,광주광역시 북구,꽃길 조성 및 가드닝.,식물 경험자 우대
재활용품 분류 및 업사이클링 작업,경기도 환경나눔터,환경보호,"2025-12-01 ~ 2026-01-31, 10:00~15:00",화·금,경기도 용인시,재활용 분류 및 업사이클링 보조.,분리수거 이해 필수
바다 생물 보호를 위한 수질 조사 보조,울산 해양생태센터,환경보호,"2025-11-29 ~ 2026-01-25, 12:00~16:00",금·토,울산광역시 남구,수질 조사 및 기록 보조.,야외 활동 가능자
지역 공원 환경 미화 및 안내 활동,인천 녹색환경협회,환경보호,"2025-12-03 ~ 2026-02-10, 09:00~12:00",월·목,인천광역시 미추홀구,공원 청소·안내판 관리.,책임감 있는 성격
도심 빗물정원 유지관리,전남 기후환경지원센터,환경보호,"2025-12-08 ~ 2026-02-08, 13:00~17:00",수·금,전라남도 광양시,빗물정원 식재 점검.,원예 작업 가능
탄소절감 캠페인 운영 보조,제주 지속가능환경센터,환경보호,"2025-12-10 ~ 2026-02-20, 12:00~16:00",토·일,제주특별자치도 서귀포시,탄소절감 홍보 캠페인 보조.,대외 활동 가능자
초등학생 기초학습 멘토링,서울동부지역아동센터,교육·멘토링,"2025-11-25 ~ 2026-02-25, 15:00~18:00",월·수,서울특별시 광진구,초등 기초 학습 지도.,학습 지도 경험자 우대
중학생 영어회화 스터디 코치,부산 청소년배움터,교육·멘토링,"2025-11-30 ~ 2026-01-30, 16:00~18:00",금,부산광역시 진구,중학생 영어 회화 연습 지도.,기본 회화 능력
고등학생 진로탐색 멘토링,대구 청소년진로센터,교육·멘토링,"2025-12-05 ~ 2026-02-20, 17:00~19:00",토,대구광역시 수성구,진로탐색·직업 정보 안내.,대학생 이상
다문화 가정 아동 한국어 학습 지원,경기도 다문화교육센터,교육·멘토링,"2025-11-28 ~ 2026-02-28, 14:00~17:00",화·목,경기도 안산시,기초 한국어 학습 지원.,한국어 지도 가능자
지역아동센터 독서지도 멘토링,광주 희망아동센터,교육·멘토링,"2025-12-03 ~ 2026-01-31, 13:00~16:00",월·금,광주광역시 북구,독서 지도 및 독후활동.,독서 선호자
청소년 코딩 기초 교육 보조,인천 SW미래교육센터,교육·멘토링,"2025-12-01 ~ 2026-02-01, 15:00~18:00",수·토,인천광역시 연수구,기초 코딩 교육 보조.,코딩 경험자
미술·공예 방과후 멘토링,전남 창의예술지역센터,교육·멘토링,"2025-12-07 ~ 2026-02-28, 14:00~17:00",목·토,전라남도 목포시,미술·공예 프로그램 보조.,미술 경험자 우대
중학생 수학 학습코칭,제주 청소년공부방,교육·멘토링,"2025-11-27 ~ 2026-01-20, 16:00~19:00",화·금,제주특별자치도 제주시,수학 개념 학습 지도.,수학 기초 필수
고등학생 대학입시 자소서 코칭,울산 교육나눔센터,교육·멘토링,"2025-12-10 ~ 2026-02-10, 15:00~18:00",토·일,울산광역시 남구,입시 자소서 첨삭 및 안내.,입시 경험자 우대
초등학생 놀이형 창의력 수업 보조,강원 미래교육지원단,교육·멘토링,"2025-11-26 ~ 2026-02-02, 13:00~16:00",월·수,강원특별자치도 춘천시,창의 기반 놀이수업 보조.,아동 소통 능력
지역 도서관 자료 정리 및 대출 보조,서울시 공공도서관 연합,기타,"2025-11-26 ~ 2026-01-15, 13:00~16:00",화·금,서울특별시 송파구,도서 정리·대출 보조 및 이용자 안내.,정리 능력
문화행사 안내 및 운영 보조,부산 시민문화재단,기타,"2025-12-01 ~ 2026-02-01, 14:00~18:00",토·일,부산광역시 남구,문화행사 안내·운영 지원.,대외활동 가능자
공공기관 민원안내 및 행정보조,대구 시민지원센터,기타,"2025-11-28 ~ 2026-01-31, 10:00~14:00",월·수,대구광역시 중구,민원 안내 및 문서 정리.,컴퓨터 활용 가능
지역 축제 프로그램 운영 지원,경기도 문화나눔센터,기타,"2025-12-05 ~ 2026-02-05, 12:00~17:00",토·일,경기도 부천시,축제 운영 보조.,활발한 성격 우대
공공 미술작품 관리 및 시민안내,광주 도시문화재단,기타,"2025-12-03 ~ 2026-02-20, 11:00~15:00",수·금,광주광역시 동구,공공미술 작품 관리·안내.,야외 활동 가능자
지역 박물관 전시실 모니터링,인천 역사박물관,기타,"2025-11-30 ~ 2026-02-10, 13:00~17:00",토·일,인천광역시 중구,전시실 안내·동선 점검.,책임감 있는 성격
공연장 좌석 안내 및 현장 관리,전남 공연예술센터,기타,"2025-12-07 ~ 2026-01-25, 16:00~20:00",금·토,전라남도 순천시,좌석 안내 및 현장 안전 관리.,서비스 마인드 필요
지역 청소년센터 시설 정비 및 안내,제주 청소년문화의집,기타,"2025-11-29 ~ 2026-01-19, 10:00~14:00",수·금,제주특별자치도 제주시,시설 정비 및 안내.,간단한 작업 가능
공공자전거 정비 보조 및 배치 지원,울산 자전거공유센터,기타,"2025-12-02 ~ 2026-02-02, 09:00~13:00",월·목,울산광역시 북구,공공자전거 정비·배치.,기본 정비 가능자
지역 커뮤니티센터 자료관리 보조,강원 마을문화센터,기타,"2025-12-10 ~ 2026-02-28, 14:00~17:00",화·토,강원특별자치도 속초시,자료 관리·프로그램 보조.,문서 관리 능력
